,type,label,num_fragments,fragment_generation_time,timed_network_generation,timed_network_size,timed_network_compression,compressed_network_nodes,objective,runtime,node_count,gap,method
0,constant-charging,I-3-3-100-07,2783,0.0342543125152587,0.0059187412261962,509,0.0037870407104492,154,14.0,0.0612900257110595,1.0,0.0,fragments
1,constant-charging,I-5-5-200-05,24977,0.2376642227172851,0.1511774063110351,1709,0.0492839813232421,512,18.0,0.8354129791259766,1.0,0.0,fragments
2,constant-charging,I-1-1-50-08,719,0.00712251663208,0.0021398067474365,163,0.0011792182922363,40,12.0,0.0103290081024169,1.0,0.0,fragments
3,constant-charging,I-3-3-100-01,3623,0.0388095378875732,0.0081684589385986,503,0.0077452659606933,148,15.0,0.0465750694274902,1.0,0.0,fragments
4,constant-charging,I-3-3-100-08,6125,0.062997817993164,0.0141968727111816,513,0.0118272304534912,161,15.0,0.1207211017608642,1.0,0.0,fragments
5,constant-charging,I-1-1-50-09,476,0.004814863204956,0.0010960102081298,172,0.0022721290588378,43,16.0,0.0066549777984619,1.0,0.0,fragments
6,constant-charging,I-5-5-200-09,20850,0.1709165573120117,0.0849108695983886,1689,0.0607297420501709,510,18.0,0.7105889320373535,1.0,0.0,fragments
7,constant-charging,I-1-1-50-10,911,0.0108096599578857,0.0432105064392089,170,0.001284122467041,50,13.0,0.0112240314483642,1.0,0.0,fragments
8,constant-charging,I-5-5-200-10,21949,0.1922328472137451,0.0921628475189209,1678,0.0624341964721679,502,18.0,0.6943299770355225,1.0,0.0,fragments
9,constant-charging,I-5-5-200-07,17829,0.1620543003082275,0.0824406147003173,1700,0.060530662536621,538,16.0,0.5718600749969482,1.0,0.0,fragments
10,constant-charging,I-3-3-100-06,5210,0.0493760108947753,0.0097880363464355,482,0.0077695846557617,136,15.0,0.0757398605346679,1.0,0.0,fragments
11,constant-charging,I-1-1-50-04,561,0.0059332847595214,0.0011713504791259,165,0.0008153915405273,40,17.0,0.0087809562683105,1.0,0.0,fragments
12,constant-charging,I-5-5-200-06,31534,0.2980525493621826,0.1412811279296875,1708,0.0925078392028808,539,16.0,1.0050790309906006,1.0,0.0,fragments
13,constant-charging,I-1-1-50-01,484,0.0044267177581787,0.0008692741394042,176,0.0008440017700195,44,13.0,0.0078179836273193,1.0,0.0,fragments
14,constant-charging,I-5-5-200-03,20663,0.1884713172912597,0.0817737579345703,1720,0.0262420177459716,520,15.0,0.8246889114379883,1.0,0.0,fragments
15,constant-charging,I-5-5-200-02,20951,0.1978099346160888,0.0840916633605957,1677,0.0285031795501709,505,17.0,0.5476810932159424,1.0,0.0,fragments
16,constant-charging,I-3-3-100-04,4609,0.0440566539764404,0.0121684074401855,514,0.0378375053405761,144,16.0,0.081691026687622,1.0,0.0,fragments
17,constant-charging,I-3-3-100-02,4859,0.0471265316009521,0.0113792419433593,500,0.0091302394866943,139,17.0,0.0761570930480957,1.0,0.0,fragments
18,constant-charging,I-3-3-100-03,3456,0.0343525409698486,0.0072770118713378,507,0.0075495243072509,157,16.0,0.0494680404663085,1.0,0.0,fragments
19,constant-charging,I-3-3-100-10,3600,0.0352697372436523,0.035994529724121,507,0.0048725605010986,141,19.0,0.0578200817108154,1.0,0.0,fragments
20,constant-charging,I-1-1-50-07,702,0.0086023807525634,0.0014221668243408,177,0.0014371871948242,45,16.0,0.013340950012207,1.0,0.0,fragments
21,constant-charging,I-3-3-100-09,4554,0.0435400009155273,0.0429472923278808,514,0.0063483715057373,142,19.0,0.0858340263366699,1.0,0.0,fragments
22,constant-charging,I-1-1-50-03,1030,0.0112228393554687,0.0019512176513671,170,0.0016596317291259,45,12.0,0.0172610282897949,1.0,0.0,fragments
23,constant-charging,I-1-1-50-02,1166,0.0127871036529541,0.0032410621643066,173,0.0013990402221679,48,12.0,0.0194041728973388,1.0,0.0,fragments
24,constant-charging,I-5-5-200-01,24063,0.224482774734497,0.0891499519348144,1647,0.0693271160125732,524,18.0,1.02195405960083,1.0,0.0,fragments
25,constant-charging,I-5-5-200-08,18636,0.1685714721679687,0.077219009399414,1695,0.0622689723968505,535,16.0,0.6981861591339111,1.0,0.0,fragments
26,constant-charging,I-3-3-100-05,3067,0.0300767421722412,0.0372133255004882,488,0.0035552978515625,148,18.0,0.0599470138549804,1.0,0.0,fragments
27,constant-charging,I-1-1-50-06,543,0.0050239562988281,0.0020253658294677,173,0.0008454322814941,44,13.0,0.0087130069732666,1.0,0.0,fragments
28,constant-charging,I-1-1-50-05,516,0.0053813457489013,0.0009934902191162,164,0.0007791519165039,46,15.0,0.0076019763946533,1.0,0.0,fragments
29,constant-charging,I-5-5-200-04,25408,0.238152265548706,0.0944573879241943,1679,0.0720305442810058,530,16.0,0.9525701999664308,1.0,0.0,fragments
30,constant-charging,I-7-7-1000-03,270264,6.778780698776245,1.3304824829101562,11566,0.7485313415527344,3656,19.0,26.267843008041385,1.0,0.0,fragments
31,constant-charging,I-7-7-1000-05,272488,6.190356969833374,1.5907340049743652,11781,0.8558683395385742,3740,18.0,22.633664846420288,1.0,0.0,fragments
32,constant-charging,I-7-7-1000-01,254574,6.224709749221802,1.3203415870666504,11606,0.8081858158111572,3659,18.0,15.809323072433472,1.0,0.0,fragments
33,constant-charging,I-7-7-1000-02,248825,6.029933452606201,1.6200361251831057,11622,0.8399829864501953,3679,17.0,15.983767986297607,1.0,0.0,fragments
34,constant-charging,I-7-7-1000-04,266819,6.738481283187866,1.7324330806732178,11540,0.9153752326965332,3728,18.0,17.85171103477478,1.0,0.0,fragments
