,type,label,fragment_generation_time,num_fragments,timed_network_generation,timed_network_size,timed_network_compression,compressed_network_nodes,objective,runtime,node_count,gap,method
0,constant-charging,I-3-3-100-07,0.0755336284637451,8040,0.0534517765045166,509,0.0100564956665039,154,14.0,0.182636022567749,1.0,0.0,updated_gen
1,constant-charging,I-5-5-200-05,41.63370203971863,3375926,20.09028434753418,1709,9.360143899917604,512,18.0,319.9895329475403,1.0,0.0,updated_gen
2,constant-charging,I-1-1-50-08,0.0071840286254882,1236,0.004530906677246,163,0.0012605190277099,40,12.0,0.014794111251831,1.0,0.0,updated_gen
3,constant-charging,I-3-3-100-01,0.1013436317443847,9510,0.0332298278808593,503,0.0146484375,148,15.0,0.1467878818511963,1.0,0.0,updated_gen
4,constant-charging,I-3-3-100-08,1.0265307426452637,128328,0.4893858432769775,513,0.4143240451812744,161,15.0,2.6234169006347656,1.0,0.0,updated_gen
5,constant-charging,I-1-1-50-09,0.0036218166351318,614,0.0017585754394531,172,0.0013673305511474,43,16.0,0.0075900554656982,1.0,0.0,updated_gen
6,constant-charging,I-5-5-200-09,9.62114930152893,732396,3.611406087875366,1689,2.019254684448242,510,18.0,76.99832510948181,1.0,0.0,updated_gen
7,constant-charging,I-1-1-50-10,0.0092949867248535,1528,0.0042896270751953,170,0.001476764678955,50,13.0,0.0199949741363525,1.0,0.0,updated_gen
8,constant-charging,I-5-5-200-10,16.143067359924316,903569,5.975324392318726,1678,3.9199471473693848,502,18.0,72.43259382247925,1.0,0.0,updated_gen
9,constant-charging,I-5-5-200-07,1.0790684223175049,71450,0.4077541828155517,1700,0.1281542778015136,538,16.0,2.756511926651001,1.0,0.0,updated_gen
10,constant-charging,I-3-3-100-06,0.302670955657959,39315,0.3100161552429199,482,0.0741379261016845,136,15.0,0.6247448921203613,1.0,0.0,updated_gen
11,constant-charging,I-1-1-50-04,0.004645824432373,668,0.002227783203125,165,0.0007846355438232,40,17.0,0.0112531185150146,1.0,0.0,updated_gen
12,constant-charging,I-3-3-100-07,0.0440304279327392,8040,0.0243117809295654,516,0.0411138534545898,154,14.0,0.1628370285034179,1.0,0.0,job_first_gen
13,constant-charging,I-5-5-200-05,20.641143083572388,3375926,17.15914559364319,1682,12.004427909851074,496,18.0,313.2983500957489,1.0,0.0,job_first_gen
14,constant-charging,I-1-1-50-08,0.0046896934509277,1236,0.0031349658966064,162,0.0013186931610107,45,12.0,0.0190761089324951,1.0,0.0,job_first_gen
15,constant-charging,I-3-3-100-01,0.047255516052246,9510,0.026749849319458,495,0.013890266418457,153,15.0,0.1387100219726562,1.0,0.0,job_first_gen
16,constant-charging,I-3-3-100-08,0.612525224685669,128328,0.6565170288085938,523,0.4302518367767334,154,15.0,2.2914509773254395,1.0,0.0,job_first_gen
17,constant-charging,I-1-1-50-09,0.0027294158935546,614,0.0013144016265869,174,0.0007472038269042,42,16.0,0.0091848373413085,1.0,0.0,job_first_gen
18,constant-charging,I-5-5-200-09,4.708068370819092,732396,4.311722755432129,1672,1.6023132801055908,521,18.0,66.90918111801147,1.0,0.0,job_first_gen
19,constant-charging,I-1-1-50-10,0.0061986446380615,1528,0.0046038627624511,174,0.0017311573028564,52,13.0,0.0241079330444335,1.0,0.0,job_first_gen
20,constant-charging,I-5-5-200-10,6.407769203186035,903569,4.588093519210815,1671,2.827773094177246,514,18.0,70.69035005569458,1.0,0.0,job_first_gen
21,constant-charging,I-5-5-200-07,0.3959569931030273,71450,0.3744857311248779,1716,0.1882669925689697,522,16.0,2.898813009262085,1.0,0.0,job_first_gen
22,constant-charging,I-3-3-100-06,0.1839537620544433,39315,0.2076227664947509,472,0.0594892501831054,141,15.0,0.6282961368560791,1.0,0.0,job_first_gen
23,constant-charging,I-1-1-50-04,0.0028915405273437,668,0.0016179084777832,165,0.0012166500091552,43,17.0,0.0107319355010986,1.0,0.0,job_first_gen
24,constant-charging,I-3-3-100-07,0.0538978576660156,8040,0.0310842990875244,516,0.0595865249633789,154,14.0,0.261915922164917,1.0,0.0,job_first_gen
25,constant-charging,I-1-1-50-01,0.0048084259033203,668,0.001814842224121,179,0.0020041465759277,46,13.0,0.0171189308166503,1.0,0.0,job_first_gen
26,constant-charging,I-5-5-200-03,0.7102386951446533,100605,0.548858642578125,1723,0.1808230876922607,519,15.0,4.694432973861694,1.0,0.0,job_first_gen
27,constant-charging,I-5-5-200-02,2.7930707931518555,400965,2.2215046882629395,1667,0.8474962711334229,503,17.0,28.04183793067932,1.0,0.0,job_first_gen
28,constant-charging,I-3-3-100-04,0.0718247890472412,14961,0.0448019504547119,507,0.0234673023223876,134,16.0,0.1998288631439209,1.0,0.0,job_first_gen
29,constant-charging,I-3-3-100-02,0.2083938121795654,42072,0.1176574230194091,502,0.0654327869415283,139,17.0,0.8508548736572266,1.0,0.0,job_first_gen
30,constant-charging,I-3-3-100-03,0.0391645431518554,7569,0.021155834197998,514,0.0099759101867675,155,16.0,0.1176729202270507,1.0,0.0,job_first_gen
31,constant-charging,I-3-3-100-10,0.1017220020294189,16116,0.0804357528686523,494,0.0186889171600341,148,19.0,0.1896700859069824,1.0,0.0,job_first_gen
32,constant-charging,I-1-1-50-07,0.0064697265625,998,0.0046901702880859,172,0.0013327598571777,48,16.0,0.0175321102142334,1.0,0.0,job_first_gen
33,constant-charging,I-3-3-100-09,0.1344971656799316,21384,0.1128945350646972,514,0.0349242687225341,145,19.0,0.3606109619140625,1.0,0.0,job_first_gen
34,constant-charging,I-1-1-50-03,0.0086212158203125,1952,0.0069777965545654,170,0.0027506351470947,52,12.0,0.0291640758514404,1.0,0.0,job_first_gen
35,constant-charging,I-1-1-50-02,0.0142431259155273,2604,0.0071995258331298,170,0.0035676956176757,55,12.0,0.0383169651031494,1.0,0.0,job_first_gen
36,constant-charging,I-5-5-200-01,4.225481271743774,642179,3.2494418621063232,1664,2.030927896499634,507,18.0,50.64014101028442,1.0,0.0,job_first_gen
37,constant-charging,I-5-5-200-08,1.0953505039215088,167340,0.5088605880737305,1677,0.336890697479248,532,16.0,8.049633026123047,1.0,0.0,job_first_gen
38,constant-charging,I-3-3-100-05,0.0420119762420654,9105,0.027742862701416,496,0.0131940841674804,155,18.0,0.1145319938659668,1.0,0.0,job_first_gen
39,constant-charging,I-1-1-50-06,0.0044019222259521,708,0.0017650127410888,174,0.0021111965179443,44,13.0,0.0108330249786376,1.0,0.0,job_first_gen
40,constant-charging,I-1-1-50-05,0.003420352935791,552,0.0013346672058105,172,0.0009708404541015,52,15.0,0.0116000175476074,1.0,0.0,job_first_gen
41,constant-charging,I-5-5-200-04,13.841472625732422,2236932,12.296611547470093,1693,8.501169681549072,515,16.0,189.58974385261536,1.0,0.0,job_first_gen
42,constant-charging,I-3-3-100-07,0.04461932182312012,8040,0.05390000343322754,516,0.010181665420532227,154,14.0,0.019616127014160156,0.0,0.0,
