,type,label,fragment_generation_time,timed_network_generation,timed_network_size,timed_network_compression,compressed_network_nodes,objective,runtime,node_count,gap
0,constant-charging,I-1-1-50-08,0.0710763931274414,0.0737764835357666,163,0.0126466751098632,40,12.0,0.0155558586120605,1.0,0.0
1,constant-charging,I-1-1-50-09,0.0345067977905273,0.0035586357116699,172,0.0079994201660156,43,16.0,0.0224490165710449,1.0,0.0
2,constant-charging,I-1-1-50-10,0.0973818302154541,0.0175683498382568,170,0.0230464935302734,50,13.0,0.0293388366699218,1.0,0.0
3,constant-charging,I-1-1-50-04,0.0482561588287353,0.0086259841918945,165,0.0084772109985351,40,17.0,0.0183300971984863,1.0,0.0
4,constant-charging,I-1-1-50-01,0.0557520389556884,0.0067167282104492,176,0.0080742835998535,44,13.0,0.0168619155883789,1.0,0.0
5,constant-charging,I-1-1-50-07,0.0612130165100097,0.0054712295532226,177,0.0105350017547607,45,16.0,0.0175879001617431,1.0,0.0
6,constant-charging,I-1-1-50-03,0.1071410179138183,0.0170259475708007,170,0.0233335494995117,45,12.0,0.0376508235931396,1.0,0.0
7,constant-charging,I-1-1-50-02,0.2324545383453369,0.0238828659057617,173,0.027536392211914,48,12.0,0.0343298912048339,1.0,0.0
8,constant-charging,I-1-1-50-06,0.0483481884002685,0.0047268867492675,173,0.0094223022460937,44,13.0,0.0169088840484619,1.0,0.0
9,constant-charging,I-1-1-50-05,0.0408406257629394,0.0039410591125488,164,0.0080249309539794,46,15.0,0.0112481117248535,1.0,0.0
10,constant-charging,I-3-3-100-07,0.1041033267974853,0.0975310802459716,509,0.0089879035949707,154,14.0,0.2086379528045654,1.0,0.0
11,constant-charging,I-5-5-200-05,47.77747392654419,17.122803449630737,1709,5.198443651199341,512,18.0,460.01899003982544,1.0,0.0
12,constant-charging,I-3-3-100-01,0.10860896110534668,0.032930850982666016,503,0.014657974243164062,148,15.0,0.22286200523376465,1.0,0.0
